sample,pop,super_pop,gender,gender_numeric,pop_numeric,super_pop_numeric
HG01375,CLM,AMR,female,2,4,2
HG01377,CLM,AMR,male,1,4,2
HG01378,CLM,AMR,female,2,4,2
HG01383,CLM,AMR,male,1,4,2
HG01384,CLM,AMR,female,2,4,2
HG01389,CLM,AMR,male,1,4,2
HG01390,CLM,AMR,female,2,4,2
HG01392,PUR,AMR,male,1,12,2
HG01393,PUR,AMR,female,2,12,2
HG01395,PUR,AMR,male,1,12,2
HG01396,PUR,AMR,female,2,12,2
HG01398,PUR,AMR,male,1,12,2
HG01402,PUR,AMR,male,1,12,2
HG01403,PUR,AMR,female,2,12,2
HG01405,PUR,AMR,male,1,12,2
HG01412,PUR,AMR,male,1,12,2
HG01413,PUR,AMR,male,1,12,2
HG01414,PUR,AMR,female,2,12,2
HG01431,CLM,AMR,male,1,4,2
HG01432,CLM,AMR,female,2,4,2
HG01435,CLM,AMR,female,2,4,2
HG01437,CLM,AMR,male,1,4,2
HG01438,CLM,AMR,female,2,4,2
HG01440,CLM,AMR,male,1,4,2
HG01441,CLM,AMR,female,2,4,2
HG01443,CLM,AMR,male,1,4,2
HG01444,CLM,AMR,female,2,4,2
HG01447,CLM,AMR,female,2,4,2
HG01455,CLM,AMR,male,1,4,2
HG01456,CLM,AMR,female,2,4,2
HG01459,CLM,AMR,female,2,4,2
HG01461,CLM,AMR,male,1,4,2
HG01462,CLM,AMR,female,2,4,2
HG01464,CLM,AMR,male,1,4,2
HG01465,CLM,AMR,female,2,4,2
HG01468,CLM,AMR,female,2,4,2
HG01474,CLM,AMR,female,2,4,2
HG01479,CLM,AMR,male,1,4,2
HG01485,CLM,AMR,male,1,4,2
HG01486,CLM,AMR,female,2,4,2
HG01488,CLM,AMR,male,1,4,2
HG01489,CLM,AMR,female,2,4,2
HG01491,CLM,AMR,male,1,4,2
HG01492,CLM,AMR,female,2,4,2
HG01494,CLM,AMR,male,1,4,2
HG01495,CLM,AMR,female,2,4,2
HG01497,CLM,AMR,male,1,4,2
HG01498,CLM,AMR,female,2,4,2
HG01500,IBS,EUR,male,1,8,4
HG01501,IBS,EUR,female,2,8,4
HG01503,IBS,EUR,male,1,8,4
HG01504,IBS,EUR,female,2,8,4
HG01506,IBS,EUR,male,1,8,4
HG01507,IBS,EUR,female,2,8,4
HG01509,IBS,EUR,male,1,8,4
HG01510,IBS,EUR,female,2,8,4
HG01512,IBS,EUR,male,1,8,4
HG01513,IBS,EUR,female,2,8,4
HG01515,IBS,EUR,male,1,8,4
HG01516,IBS,EUR,female,2,8,4
HG01518,IBS,EUR,male,1,8,4
HG01519,IBS,EUR,female,2,8,4
HG01521,IBS,EUR,male,1,8,4
HG01522,IBS,EUR,female,2,8,4
HG01524,IBS,EUR,male,1,8,4
HG01525,IBS,EUR,female,2,8,4
HG01527,IBS,EUR,male,1,8,4
HG01528,IBS,EUR,female,2,8,4
HG01530,IBS,EUR,male,1,8,4
HG01531,IBS,EUR,female,2,8,4
HG01536,IBS,EUR,male,1,8,4
HG01537,IBS,EUR,female,2,8,4
HG01550,CLM,AMR,male,1,4,2
HG01551,CLM,AMR,female,2,4,2
HG01556,CLM,AMR,male,1,4,2
HG01565,PEL,AMR,male,1,10,2
HG01566,PEL,AMR,female,2,10,2
HG01571,PEL,AMR,male,1,10,2
HG01572,PEL,AMR,female,2,10,2
HG01577,PEL,AMR,male,1,10,2
HG01578,PEL,AMR,female,2,10,2
HG01583,PJL,SAS,male,1,11,5
HG01586,PJL,SAS,male,1,11,5
HG01589,PJL,SAS,male,1,11,5
HG01593,PJL,SAS,female,2,11,5
HG01595,KHV,EAS,female,2,9,3
HG01596,KHV,EAS,male,1,9,3
