sample,pop,super_pop,gender,gender_numeric,pop_numeric,super_pop_numeric
HG02493,PJL,SAS,male,1,11,5
HG02494,PJL,SAS,female,2,11,5
HG02496,ACB,AFR,male,1,1,1
HG02497,ACB,AFR,female,2,1,1
HG02501,ACB,AFR,male,1,1,1
HG02502,ACB,AFR,female,2,1,1
HG02505,ACB,AFR,female,2,1,1
HG02508,ACB,AFR,female,2,1,1
HG02511,ACB,AFR,female,2,1,1
HG02512,KHV,EAS,male,1,9,3
HG02513,KHV,EAS,female,2,9,3
HG02521,KHV,EAS,male,1,9,3
HG02522,KHV,EAS,female,2,9,3
HG02536,ACB,AFR,male,1,1,1
HG02537,ACB,AFR,female,2,1,1
HG02541,ACB,AFR,male,1,1,1
HG02545,ACB,AFR,male,1,1,1
HG02546,ACB,AFR,female,2,1,1
HG02549,ACB,AFR,female,2,1,1
HG02554,ACB,AFR,male,1,1,1
HG02555,ACB,AFR,female,2,1,1
HG02557,ACB,AFR,male,1,1,1
HG02558,ACB,AFR,female,2,1,1
HG02561,GWD,AFR,male,1,7,1
HG02562,GWD,AFR,female,2,7,1
HG02568,GWD,AFR,female,2,7,1
HG02570,GWD,AFR,male,1,7,1
HG02571,GWD,AFR,female,2,7,1
HG02573,GWD,AFR,male,1,7,1
HG02574,GWD,AFR,female,2,7,1
HG02577,ACB,AFR,female,2,1,1
HG02580,ACB,AFR,female,2,1,1
HG02582,GWD,AFR,male,1,7,1
HG02583,GWD,AFR,female,2,7,1
HG02585,GWD,AFR,male,1,7,1
HG02586,GWD,AFR,female,2,7,1
HG02588,GWD,AFR,male,1,7,1
HG02589,GWD,AFR,female,2,7,1
HG02594,GWD,AFR,male,1,7,1
HG02595,GWD,AFR,female,2,7,1
